Treat_Mediator_Y	ACME.p	prop.mediated
MetaG.M00440_MetaB.MEsalmon	0.032	0.4222
MetaG.M00222_MetaB.MEorangered3	0.032	0.3999
MetaG.M00001_MetaB.MEbrown4	0.032	0.706
MetaG.map00280_MetaB.MEcyan	0.032	0.488
MetaG.map00920_MetaB.MEsienna4	0.032	0.705
MetaG.M00060_MetaB.MEsalmon2	0.032	0.4932
MetaG.M00319_MetaB.MElavenderblush3	0.032	-0.195
MetaG.M00338_MetaB.MEnavajowhite	0.034	0.464
MetaG.map03018_MetaB.MEskyblue3	0.034	0.379
MetaG.M00001_MetaB.MEantiquewhite4	0.036	0.408
MetaG.M00338_MetaB.MEorangered1	0.036	0.3448
MetaG.M00001_MetaB.MElightsteelblue	0.036	0.466
MetaG.map00920_MetaB.MEdarkslateblue	0.036	0.3209
MetaG.M00338_MetaB.MEivory	0.036	0.5007
MetaG.map03018_MetaB.MEfloralwhite	0.036	0.34
MetaG.map03018_MetaB.MEcoral4	0.038	0.275
MetaG.M00533_MetaB.MElightpink2	0.038	0.4357
MetaG.map03018_MetaB.MEskyblue	0.038	0.265
MetaG.M00533_MetaB.MEdarkmagenta	0.04	0.5768
MetaG.M00440_MetaB.MEskyblue	0.04	0.2428
MetaG.M00173_MetaB.MEslateblue	0.04	0.301
MetaG.M00319_MetaB.MEcyan	0.04	0.084
MetaG.M00002_MetaB.MEsienna4	0.04	0.7545
MetaG.M00002_MetaB.MEplum	0.04	0.665
MetaG.M00360_MetaB.MEyellow3	0.04	0.568
MetaG.M00360_MetaB.MEorangered1	0.042	0.3162
MetaG.map03018_MetaB.MElightsteelblue	0.042	0.405
MetaG.map00280_MetaB.MEyellow3	0.042	0.551
MetaG.map03018_MetaB.MEplum1	0.044	0.427
MetaG.M00002_MetaB.MElightpink2	0.044	0.377
MetaG.M00440_MetaB.MEorangered3	0.044	0.34014
MetaG.map00250_MetaB.MEslateblue	0.044	0.274
MetaG.M00319_MetaB.MEhoneydew1	0.044	-0.1819
MetaG.M00173_MetaB.MEmediumpurple3	0.044	0.301
MetaG.map00250_MetaB.MEmediumpurple3	0.044	0.319
MetaG.M00539_MetaB.MElightyellow	0.044	0.3093
