Treat_Mediator_Y	ACME.p	prop.mediated
MetaB.MEbisque4_HostT.MEoldlace_NEU	2.00E-16	0.832
MetaB.MEbisque4_HostT.MEorange_NEU	0.11	-0.207
MetaB.MEbisque4_HostT.MEorange4_NEU	0.058	0.3121
MetaB.MEbisque4_HostT.MEorangered_NEU	0.02	0.502
MetaB.MEbisque4_HostT.MEorangered4_NEU	0.036	0.4248
MetaB.MEbisque4_HostT.MEorchid4_NEU	0.124	0.311
MetaB.MEbisque4_HostT.MEpalegreen3_NEU	2.00E-16	0.597
MetaB.MEbisque4_HostT.MEpaleturquoise_NEU	0.47	-0.0667
MetaB.MEbisque4_HostT.MEpaleturquoise4_NEU	0.214	0.262
MetaB.MEbisque4_HostT.MEpink1_NEU	0.048	0.26266
MetaB.MEbisque4_HostT.MEpink3_NEU	0.338	0.171
MetaB.MEbisque4_HostT.MEplum4_NEU	0.01	0.1933
MetaB.MEbisque4_HostT.MEpurple_NEU	2.00E-16	0.374881281
MetaB.MEbisque4_HostT.MEpurple2_NEU	2.00E-16	0.889
MetaB.MEbisque4_HostT.MEred_NEU	0.018	0.3832
MetaB.MEbisque4_HostT.MEred3_NEU	2.00E-16	-0.389
MetaB.MEbisque4_HostT.MEred4_NEU	2.00E-16	0.8
MetaB.MEbisque4_HostT.MErosybrown1_NEU	2.00E-16	0.587
MetaB.MEbisque4_HostT.MEroyalblue4_NEU	0.52	0.0936
MetaB.MEbisque4_HostT.MEsaddlebrown.1_NEU	2.00E-16	1.136
MetaB.MEbisque4_HostT.MEsalmon2_NEU	2.00E-16	0.967
MetaB.MEbisque4_HostT.MEseagreen2_NEU	0.11	-0.238
MetaB.MEbisque4_HostT.MEsienna1_NEU	2.00E-16	0.489
MetaB.MEbisque4_HostT.MEsienna2_NEU	2.00E-16	0.714
MetaB.MEbisque4_HostT.MEsienna3_NEU	2.00E-16	0.627
MetaB.MEbisque4_HostT.MEskyblue2_NEU	0.002	0.677
MetaB.MEbisque4_HostT.MEskyblue3.1_NEU	0.034	0.2475
MetaB.MEbisque4_HostT.MEslateblue2_NEU	0.038	0.3462
MetaB.MEbisque4_HostT.MEsteelblue1_NEU	0.402	0.17
MetaB.MEbisque4_HostT.MEsteelblue4_NEU	0.022	0.3114
MetaB.MEbisque4_HostT.MEtan.1_NEU	0.004	0.341
MetaB.MEbisque4_HostT.MEtan4_NEU	0.006	0.529
MetaB.MEbisque4_HostT.MEthistle4_NEU	2.00E-16	0.618
MetaB.MEbisque4_HostT.MEturquoise_NEU	2.00E-16	0.517430987
MetaB.MEbisque4_HostT.MEwhite_NEU	2.00E-16	0.442329296
MetaB.MEbisque4_HostT.MEyellow_NEU	2.00E-16	0.412192949
MetaB.MEbisque4_HostT.MEyellow2_NEU	2.00E-16	0.55
MetaB.MEblue_HostT.MEbisque4_NEU	2.00E-16	0.659502338
MetaB.MEblue_HostT.MEblue2_NEU	2.00E-16	1.093
MetaB.MEblue_HostT.MEblueviolet_NEU	2.00E-16	0.513604149
MetaB.MEblue_HostT.MEbrown_NEU	2.00E-16	0.630801055
MetaB.MEblue_HostT.MEbrown3_NEU	2.00E-16	0.476292481
