Treat_Mediator_Y	ACME.p	prop.mediated
MetaG.M00500_MetaB.MEgreen	0.977	0.00098
MetaG.M00511_MetaB.MEgreen	0.977	0.0036
MetaG.M00511_MetaB.MEtan4	0.977	0.000229
MetaG.M00540_MetaB.MEdarkorange2	0.977	0.00732
MetaG.M00540_MetaB.MEdarkred	0.977	0.00013
MetaG.map00564_MetaB.MEantiquewhite2	0.977	0.00203
MetaG.map00564_MetaB.MEtan4	0.977	0.00223
MetaG.M00162_MetaB.MEgreen	0.991	0.000269
MetaG.M00162_MetaB.MEtan4	0.995	2.81E-05
MetaG.M00015_MetaB.MElightcoral	1	0.01323
MetaG.M00151_MetaB.MEantiquewhite2	1	0.000394
MetaG.M00151_MetaB.MEindianred4	1	0.000377
MetaG.M00162_MetaB.MEcoral	1	0.01218
MetaG.M00373_MetaB.MEcoral3	1	0.00514
MetaG.M00500_MetaB.MEantiquewhite2	1	0.000563
MetaG.M00567_MetaB.MEtan4	1	0.001
MetaG.map00195_MetaB.MEgreen	1	0.0031
MetaG.map00564_MetaB.MEpalevioletred3	1	0.00416
