Treat_Mediator_Y	ACME.p	prop.mediated
MetaB.MEcoral3_HostT.MEturquoise1	0.232	-0.0686
MetaB.MEmidnightblue_HostT.MElavenderblush3.1	0.232	0.169
MetaB.MEpalevioletred3_HostT.MEseashell	0.232	0.123
MetaB.MEtan4_HostT.MElightsalmon	0.232	-0.00293
MetaB.MEorange_HostT.MEpurple4	0.244	-0.0764
MetaB.MEcoral3_HostT.MEpurple4	0.268	-0.0745
MetaB.MEdarkred_HostT.MElightsalmon	0.268	-0.0345
MetaB.MEgreen_HostT.MElightsalmon	0.268	-0.00153
MetaB.MEgreen_HostT.MEpurple4	0.268	-0.0225
MetaB.MElightcoral_HostT.MElavenderblush3.1	0.268	0.119
MetaB.MEorange_HostT.MEsalmon4.1	0.268	-0.0658
MetaB.MEcoral_HostT.MEbrown2	0.278	0.0635
MetaB.MEantiquewhite2_HostT.MEsalmon4.1	0.28	0.0346
MetaB.MEblack_HostT.MElavenderblush3.1	0.28	0.0976
MetaB.MEblue2_HostT.MEsalmon.1	0.28	0.0988
MetaB.MEdarkorange2_HostT.MElightgoldenrod4	0.28	-0.0541
MetaB.MEdarkred_HostT.MEsalmon4.1	0.28	-0.0569
MetaB.MEdarkorange_HostT.MElavenderblush3.1	0.292	0.087
MetaB.MEdarkorange2_HostT.MElightsalmon	0.292	0.0704
MetaB.MEdarkred_HostT.MEpalegreen	0.292	-0.0138
MetaB.MElightcoral_HostT.MEseashell	0.292	0.0839
MetaB.MEwhite_HostT.MEpurple4	0.292	-0.0354
MetaB.MEcoral_HostT.MEpalegreen2	0.297	0.0472
MetaB.MEcoral_HostT.MEsnow2	0.297	0.194
MetaB.MEantiquewhite2_HostT.MEpurple4	0.304	-0.0148
MetaB.MEtan4_HostT.MEgrey	0.304	0.00779
MetaB.MEwhite_HostT.MEsalmon4.1	0.304	-0.0458
MetaB.MEwhite_HostT.MEtan1	0.304	0.728
MetaB.MEdarkorange2_HostT.MEpaleturquoise1	0.316	0.164
MetaB.MEtan4_HostT.MEpurple4	0.316	-0.00952
MetaB.MEantiquewhite2_HostT.MEsnow4	0.328	0.00459
MetaB.MEcoral3_HostT.MEdarkgrey	0.328	0.225
MetaB.MEcoral3_HostT.MElavenderblush3.1	0.328	-0.0395
MetaB.MEcoral3_HostT.MEtan1	0.328	0.624
MetaB.MEcoral3_HostT.MEroyalblue	0.34	0.678
MetaB.MEtan4_HostT.MEsnow4	0.34	-0.00391
MetaB.MEblue2_HostT.MElavenderblush3.1	0.352	0.127
MetaB.MEcoral3_HostT.MEpalegreen2	0.352	-0.0385
MetaB.MEdarkorange2_HostT.MEdarkolivegreen.1	0.352	-0.044
MetaB.MEdarkred_HostT.MEseashell	0.352	-0.0128
MetaB.MEindianred4_HostT.MElightsalmon	0.352	-0.0477
MetaB.MElightcoral_HostT.MElightsalmon	0.352	0.0511
MetaB.MEmidnightblue_HostT.MElightsalmon	0.352	0.0523
MetaB.MEtan4_HostT.MEseashell	0.352	0.00771
MetaB.MEwhite_HostT.MEfloralwhite.1	0.352	0.33748
MetaB.MEantiquewhite2_HostT.MElightsalmon	0.364	0.0158
MetaB.MEcoral3_HostT.MEbrown2	0.364	-0.0496
MetaB.MElightcoral_HostT.MEsnow4	0.364	0.0652
MetaB.MEtan4_HostT.MElavenderblush3.1	0.364	2.45E-04
MetaB.MEdarkorange2_HostT.MEpurple4	0.388	0.0832
MetaB.MEindianred4_HostT.MEgrey	0.388	-0.0503
MetaB.MEcoral_HostT.MElightgoldenrod4	0.39	0.121
MetaB.MEcoral_HostT.MEturquoise1	0.39	0.0421
MetaB.MEdarkorange_HostT.MElightsalmon	0.4	0.0694
MetaB.MEorange_HostT.MEseashell	0.4	-0.028
MetaB.MEdarkorange_HostT.MEdarkgrey	0.412	0.175
MetaB.MEgreen_HostT.MEsalmon4.1	0.412	-0.0105
MetaB.MElightcoral_HostT.MElightgoldenrod4	0.412	-0.0398
MetaB.MEblue2_HostT.MElightsalmon	0.424	0.0702
MetaB.MElightcoral_HostT.MEdarkolivegreen.1	0.424	-0.038
MetaB.MEorange_HostT.MElemonchiffon4	0.424	-0.054
MetaB.MEwhite_HostT.MEturquoise1	0.424	-0.0117
MetaB.MEblack_HostT.MElightblue4	0.436	0.0946
MetaB.MEblack_HostT.MElightsalmon	0.436	0.0539
MetaB.MEdarkorange_HostT.MEsalmon.1	0.436	0.0703
MetaB.MEdarkred_HostT.MEsnow4	0.436	-0.00994
MetaB.MEcoral3_HostT.MEcyan4	0.448	-0.0786
MetaB.MEcoral3_HostT.MEfloralwhite.1	0.448	-0.0448
MetaB.MEcoral3_HostT.MEdarkolivegreen.1	0.46	0.0488
MetaB.MEcoral3_HostT.MEsalmon.1	0.46	0.0822
MetaB.MEmidnightblue_HostT.MEsalmon4.1	0.46	0.0649
MetaB.MEorange_HostT.MEsnow4	0.46	-0.0238
MetaB.MEwhite_HostT.MEseashell	0.46	0.0315
MetaB.MEcoral_HostT.MEdarkolivegreen.1	0.472	-0.0252
MetaB.MElightcoral_HostT.MElightblue4	0.472	0.0943
MetaB.MEmidnightblue_HostT.MEpurple4	0.472	0.104
MetaB.MEmidnightblue_HostT.MEsalmon.1	0.472	0.0843
MetaB.MEcoral_HostT.MEsnow4	0.479	0.0321
MetaB.MEdarkred_HostT.MEtan1	0.484	0.226
MetaB.MEdarkorange2_HostT.MElightblue4	0.496	0.099
MetaB.MEdarkorange2_HostT.MEsalmon.1	0.496	0.0755
MetaB.MEblack_HostT.MEdarkolivegreen.1	0.508	-0.0232
MetaB.MEdarkorange2_HostT.MEsalmon4.1	0.508	0.034
MetaB.MElightcoral_HostT.MEpurple4	0.508	0.085
MetaB.MEgreen_HostT.MElemonchiffon4	0.52	-0.0169
MetaB.MEdarkorange_HostT.MEpurple4	0.532	0.0661
MetaB.MEwhite_HostT.MEdarkolivegreen.1	0.532	-0.0107
MetaB.MEdarkred_HostT.MElemonchiffon4	0.544	-0.0384
MetaB.MEwhite_HostT.MElightgoldenrod4	0.544	0.0542
MetaB.MEantiquewhite2_HostT.MEseashell	0.556	0.0107
MetaB.MEblack_HostT.MEsalmon4.1	0.556	0.0527
MetaB.MEcoral3_HostT.MElemonchiffon4	0.556	-0.0145
MetaB.MEdarkorange2_HostT.MEdarkgrey	0.58	0.171
MetaB.MEdarkred_HostT.MEdarkolivegreen.1	0.58	0.0213
MetaB.MEtan4_HostT.MElightgoldenrod4	0.58	0.0184
MetaB.MEblack_HostT.MEpurple4	0.592	0.0525
MetaB.MEdarkorange_HostT.MElightgoldenrod4	0.592	0.039
MetaB.MEcoral_HostT.MEpowderblue	0.602	0.108
MetaB.MEantiquewhite2_HostT.MElemonchiffon4	0.604	-0.024
MetaB.MEblue2_HostT.MEpurple4	0.604	0.0604
MetaB.MEcoral3_HostT.MEorchid2	0.604	0.0901
MetaB.MEdarkred_HostT.MEsalmon.1	0.604	0.0829
MetaB.MEtan4_HostT.MElemonchiffon4	0.604	-0.00392
MetaB.MEwhite_HostT.MEpaleturquoise1	0.604	0.106
MetaB.MEcoral3_HostT.MEsnow4	0.616	-0.0126
