#NAME	K056V0	K072V0	K079V0	K083V0	K084V0	K085V0	K086V0	K147V0	K096V0	K098V0	K100V0	K101V0	K105V0	K107V0	K110V0	K111V0	K112V0	K119V0	K121V0	K122V0	K131V0	K136V0	K138V0	K144V0	K154V0	K155V0	K157V0	K169V0	K170V0	K171V0	K173V0	K174V0	K177V0	K179V0	K180V0	K182V0	K184V0	K188V0	1040V4	J095V4	1107V4	X003V4	1004V4	X004V4	S106V8	S099V8	C220V8	C402V8	C422V8	K054V0	K055V0	K057V0	K060V0	K194V0	K003V4	K005V4	K019V4	K037V4	C532V8
MPIF-1	2.741394431	2.709029794	2.79607316	2.614218883	2.568945095	2.571476599	2.611777103	2.744931186	2.710957416	2.931221975	2.428307519	2.897079302	2.415088305	2.813238474	2.73554113	2.707333269	2.932832293	2.639920457	2.829523839	2.768212773	3.069768684	2.93256977	2.715724894	2.80260188	2.742179106	2.738865711	3.059208714	2.755155102	2.834014487	2.784685259	2.823152794	2.757830648	2.902143166	2.700753627	2.50565799	2.630069865	2.966003754	2.912364013	2.780111046	2.42428319	2.838850868	2.836321819	2.817560923	2.978914396	2.762115226	2.638510293	2.954934315	2.644091917	2.59324098	2.801603952	2.786426731	2.714988211	2.882165085	2.656290626	2.827656512	2.548426411	2.364633674	2.610457786	2.706777909
MSP	2.842386977	2.943310454	2.72275229	3.1223859	3.044813405	3.003550548	2.867148755	2.96098146	2.673117333	2.74423524	2.907197059	2.640393501	3.502579398	2.911373205	3.009761593	2.720956183	2.863982458	2.606936469	2.857612177	2.742788976	2.865730576	2.92731884	2.856214926	3.360058024	2.961670137	3.21363184	3.297194078	3.224749096	3.309420296	3.218187586	3.123552312	3.326755719	3.403044449	3.366532584	3.174761528	3.176061988	3.16307652	3.162887332	2.778516058	2.77996142	2.865071535	3.372324316	3.334385348	3.121555124	3.000288741	3.272430292	3.223996254	3.297664272	3.320891571	2.815141286	2.718277709	2.662716761	2.859466409	2.855871715	3.024230922	3.211677638	3.147987087	3.071588997	3.083509035
NAP-2	2.650152187	2.551225184	2.560099676	2.558350947	2.524376379	2.550194881	2.603452237	2.588229945	2.597722417	2.556370903	2.582099252	2.55415865	2.565730599	2.593384271	2.545461335	2.618477268	2.556282228	2.584795265	2.589976847	2.593056974	2.627427029	2.578495409	2.588351479	2.574830638	2.494341343	2.45622093	2.531558595	2.320972388	2.56471734	2.591572944	2.544881153	2.596973935	2.590994349	2.626952124	2.542082376	2.579287136	2.612860356	2.613430872	2.660065859	2.541943634	2.657537621	2.563266486	2.580092442	2.546520291	2.596993473	2.574014426	2.624063231	2.616023848	2.500448552	2.57284856	2.592604849	2.542273749	2.592222055	2.582489466	2.53907055	2.533218233	2.559574121	2.524611846	2.512020421
OPN	4.483948644	4.026203069	4.225312561	4.145222523	3.64568796	3.014449588	3.84810436	4.593249444	4.321583715	4.236584075	4.285099414	3.656532976	3.879258528	4.344273018	3.809623415	4.252416684	4.347045675	4.144186828	4.265153249	4.459179437	4.476439383	4.532402585	4.091735371	3.913043609	4.323787124	2.94766946	3.6971542	3.551957549	3.58954569	3.485482866	4.180257395	3.520988579	3.776006925	2.932226972	3.214536179	2.855265232	3.708490582	2.694398775	4.127659938	3.592686829	3.238533702	3.663189421	3.790233911	3.11561868	3.575691789	3.856067365	3.373275134	3.095956454	1.799683921	4.338669258	3.973640118	3.846098105	4.238667112	4.334852604	3.882175825	3.456698491	2.524974617	3.181496581	2.949617866
PARC	4.867927758	4.942232976	4.954186152	5.049639939	4.976542162	5.031841517	5.033317187	4.891898007	4.896712671	4.94502526	4.920032074	4.896984282	4.828037955	4.834555996	4.887887871	4.841529656	4.827225958	4.858713472	4.867271042	4.852445713	4.919541415	4.813004952	4.860910999	4.867792581	5.0220271	5.046560553	5.082016091	5.097707923	5.033110163	5.100756768	5.111607152	5.122021281	5.142995872	5.131841496	5.088843847	5.087096727	5.137148137	5.183558671	4.915956368	4.814620967	4.859419312	5.118039109	5.119845062	5.122150504	5.104555895	5.115180886	5.158379711	5.109780136	5.032357488	4.888647139	4.867550418	4.823282375	4.878785794	4.862924238	5.124792184	5.005929203	5.107666982	5.135564453	4.995013483
PF4	4.3980139	4.250493083	4.327123585	4.442087096	4.398775115	4.231718422	4.402801365	4.342119946	4.481276603	4.283061977	4.250804291	4.116812427	4.362081384	4.594043535	4.245374237	4.338771104	4.320451896	4.261944811	4.12676745	4.370250265	4.459010638	4.681823647	4.168299755	4.244034113	4.273166668	4.348425976	4.244381031	4.169068121	4.436276534	4.348513366	4.363503487	4.529382847	4.360547296	4.317252715	4.224940107	4.232306022	4.251038625	4.429082753	4.297678786	4.190835243	4.351346272	4.44875089	4.473914092	4.376344838	4.595002671	4.32192018	4.463641343	4.607514092	4.290298841	4.232476727	4.346639611	4.226513921	4.45631806	4.371803864	4.441088787	4.164693661	4.249369501	4.287799689	4.274535925
SDF-1a	1.83002985	1.031597988	0.544344134	0	0	1.131821268	0	1.524164635	0.398524113	0.846040198	1.532910392	1.301465424	1.385728413	1.845954153	1.225879157	0.950789349	1.49576257	1.209103784	1.579743898	0	2.412864679	0.997664723	1.626889066	1.657700351	0	0	0	0	0	0	0	0	2.558542255	0	0	0.787186425	1.199177634	0.820003477	1.345498197	1.591439377	1.620543948	0	0	0	0	0	1.267050868	0	0	1.192661887	0	0	1.58671651	1.959187228	0	0	0	0	0
TARC	2.80128676	2.161207972	2.223937261	2.109290508	2.350266053	2.449604136	2.690485122	2.409220972	1.971330928	2.556263245	2.21451277	2.448028411	2.364723855	2.548765998	2.542487826	2.349137181	2.562220743	2.451539146	2.520544786	2.308936862	2.77966367	2.314331609	2.668672211	2.482349897	2.939635632	2.549438492	3.211837863	1.897455129	2.7514273	2.251419688	1.652530127	2.394742927	2.712879466	2.545875159	2.029338266	2.740161386	2.356453827	2.318501516	2.618318033	2.481803705	2.605173589	2.355952284	1.971021865	2.363271846	2.512274266	2.233711724	2.263603766	2.033099756	2.43164862	2.607629383	2.470754649	2.273866554	2.551496512	2.269232567	2.141594509	2.263402171	2.256495267	2.499772932	2.377593498
TECK	2.208089066	0.858280801	1.050020212	0	1.618554871	2.221291304	0	2.841229449	0	0	2.054079485	1.923628713	2.201574756	2.287253914	1.598651532	2.105292159	2.727159038	2.18320216	2.063564257	1.641563821	2.825027439	3.085838491	2.792148595	2.420927245	0	0	0	0	2.621877008	1.280472163	0	0	3.251989924	0	0	0	2.16192063	1.551187662	2.152439759	2.175549871	2.578763858	0	1.374551698	0	1.280936265	0	2.479545661	0	0	1.943567384	2.554523829	1.199342091	2.268367695	2.648562388	1.407500535	0	0	0	0
TSLP	0.859306091	2.042158947	1.266778437	0	0	1.795685115	0.917260373	1.411438098	1.698005631	1.37698308	1.267416142	0	1.363222256	2.023881695	2.923558838	2.447181955	1.472835728	1.22564286	0.504304691	1.050547765	2.277960698	1.578059064	1.016962942	1.497820386	1.955221444	2.292226735	2.038166299	1.360593986	3.917982148	0.801362583	0.208344985	1.523157542	3.035194831	1.601226434	0	0	2.34312789	0.956397071	1.22985508	1.922483805	1.653701015	0	0.513111077	0	2.079706169	2.075107829	1.635414735	2.037325551	0	1.114437162	0.618741956	0.86398891	1.421766049	2.219234163	2.842855752	1.818773123	0.836662308	1.429879757	0
