#NAME	1004V4	1040V4	1107V4	C220V8	C402V8	C422V8	J095V4	K056V0	K072V0	K079V0	K083V0	K084V0	K085V0	K086V0	K096V0	K098V0	K100V0	K101V0	K105V0	K107V0	K110V0	K111V0	K112V0	K119V0	K121V0	K122V0	K131V0	K136V0	K138V0	K144V0	K147V0	K154V0	K155V0	K157V0	K169V0	K170V0	K171V0	K173V0	K174V0	K177V0	K179V0	K180V0	K182V0	K184V0	K188V0	S099V8	S106V8	X003V4	X004V4	C532V8	K003V4	K005V4	K019V4	K037V4	K054V0	K055V0	K057V0	K060V0	K194V0
IFNg	0	0	0	3.772066963	2.8909839	0.053348341	0	0	0	0	0	0	0	0	0	2.092052195	0	0	2.615702974	0	3.353046926	2.790637551	0	0	2.681426603	0	5.840413708	0	2.280020609	4.83833077	0	0	0	0	0	2.546538378	5.591802038	3.204655907	0	3.774405028	0	0	0	0	4.541114224	0	0	0	1.463833746	0	4.21506015	0	0	0	0	0	2.533703286	0	0
IL-1a	4.186998756	1.059782384	1.932665908	7.110063718	5.719504939	4.987024116	0	7.801779379	4.428848526	2.625353009	2.915678417	6.093726777	0	6.46041242	3.385165489	4.264950288	7.079523208	4.901654089	5.138194323	2.628560487	5.538253368	4.717621634	0	2.515935213	3.603267353	3.436813341	8.246419558	2.741217133	3.805015373	6.956760376	3.908242086	5.671569448	2.78979242	0	5.250541118	7.266470793	7.592221556	6.743511313	2.741343814	4.058133437	7.086247581	3.957946989	4.483111065	0	7.310757409	2.322271963	5.030577418	7.435535925	7.512278819	0	6.401463538	7.32711971	3.890714993	5.589527756	7.540411889	5.418939492	7.101093411	7.603612979	3.76375818
IL-1b	2.314888209	2.817599794	0.999600056	8.737444613	4.58779749	4.360154621	1.242342849	5.64868439	6.913731768	6.78078817	6.740423623	3.918841243	3.654310076	8.471497632	4.905542452	5.786292156	7.978013946	4.22300074	6.897115864	3.672706395	7.150282992	6.557904717	5.998228014	2.019139674	5.438578988	4.640870452	9.4840191	6.964486095	3.884330074	5.812763194	3.485178529	3.699390389	4.952237014	4.156989385	5.662010218	7.300167376	8.944571478	7.092652905	1.19290043	6.021583552	8.605675406	5.253190297	5.237190889	1.33823999	9.252383443	4.312045828	5.219047077	4.448329955	8.070537388	5.259759049	6.014604539	7.093471988	4.839970651	5.040524544	5.70909399	4.08864112	5.48401842	5.754527813	6.053447504
IL-1ra	7.114514326	6.720915087	6.377104376	7.37695726	6.967357293	7.585183538	5.984051259	7.85916081	7.824963639	7.379148925	6.851630993	7.118476296	6.93641877	6.89915544	7.749831757	7.729881269	7.320205805	7.424103466	7.083229159	6.515016577	6.979102093	6.906666144	7.039500065	6.595148862	6.444400512	7.701713236	7.508214939	7.882060684	7.690652761	7.411778403	7.199836845	6.690087832	7.033065386	7.153601197	7.146988358	7.849244434	7.368220382	7.709808225	7.106781541	7.687282736	7.228134594	7.13121095	6.293320526	6.608370007	6.854435713	7.384381249	7.64317118	7.364498644	6.939123958	7.18574604	7.56466458	7.13284689	7.260672916	7.227436092	7.875861317	7.892964025	7.693744433	7.959633609	7.816452469
IL-2	0	0	0	0	4.543815523	0	0	0	0.189519086	0	0	0	0	0	0	3.126173763	0	0	0	0	2.162386569	3.670889777	1.074970581	0	1.947561657	0	4.342228405	3.443310318	0	6.221093988	0	0	0	0	0	2.747906786	4.484861263	3.035865153	0	3.559382727	0	0	3.612000522	0	4.803108894	0	0	0	3.650210525	0	4.353351092	0	0	0	0	0	2.012102454	0	0
IL-4	0	0	0	2.710286745	3.600812689	0	0	0	0	0	0	0	0	0	0	2.164794553	1.72807199	1.748187563	1.299350392	3.253807253	3.903860486	3.979419979	3.088196604	2.097267644	0	0	5.420348043	0	1.881291788	7.247910517	0	0	0.600208965	0	0	3.361529448	5.341295521	4.353570656	0	4.675598709	1.510893671	0	1.545083943	0	4.919228531	0	0	0	3.322948102	0	6.147423803	0	0	0	0	0	3.723362476	0	0
IL-5	0	0	0	4.36404622	2.885299811	0	0	0	0	0	4.378529202	0	0	4.773280265	0	4.459534353	1.813848149	0.126873144	4.405144407	0	4.837594459	3.036824466	2.135162229	0	0	0	1.1433062	3.468514692	7.321892979	5.468465379	0	0	4.465142706	4.787637241	0	7.262813947	0	6.827600687	0.955923643	6.908925641	2.013839616	0	2.863075724	3.16575899	0	2.906563656	3.466967802	0	3.472540778	0	4.076634436	0	4.732837887	0	0	0	0	0	0.752522943
IL-6	4.58029427	3.653216749	6.92540101	10.24178289	4.187701133	4.390965031	5.798790465	7.389937856	8.768449621	3.550279678	10.34119888	6.011907653	7.915135478	8.696438685	8.906171295	8.921205037	9.097608032	9.236667705	11.12211823	6.825338365	10.71630153	4.831197696	6.250664411	8.190523007	8.140436661	10.05132594	3.837866024	6.981785187	8.973772194	7.841631349	5.281326682	9.594898792	4.985591667	8.320857596	9.851910395	8.101368038	5.669749234	10.30462866	5.557259861	7.361207756	11.25097443	5.710421505	8.557520863	6.805945656	7.931024161	5.989180363	5.50816121	8.12571164	9.530830463	7.549002152	7.370957949	5.119956313	5.368426424	5.912882826	4.332505547	8.15168269	6.913779006	9.67945571	6.632201042
IL-6R	8.405104497	7.634504706	7.979710402	11.20201147	8.283367086	8.247480545	7.935118127	8.923027131	9.073992608	7.69071378	10.05609849	8.765968452	9.321587001	9.453600787	9.530928743	9.715045412	9.376501049	7.550813158	9.685101134	7.634893994	10.41989831	8.421858443	9.664345092	7.787739024	7.723581891	9.158022801	7.76067071	10.27258116	10.32259733	8.024024807	8.348548124	9.451071099	9.561648524	10.27078706	7.831573076	10.95603695	8.740725992	11.01482657	7.713806887	10.99620374	10.86549014	8.031651577	8.570003929	7.950698553	10.16686322	9.037462336	8.839750184	8.949437994	9.639326218	8.669165323	10.24930024	8.65869042	9.1668619	8.667235209	7.877732662	9.282180473	8.870593543	9.780018034	10.47428358
IL-7	1.304078299	0.232052629	1.513971459	2.006735283	3.892305848	0.825541586	0.30552873	2.829330546	1.182727773	0	1.591435627	0	1.683386539	0	0.563871199	3.572477371	1.255757128	2.547649135	2.189331316	0.61374131	0.89872789	0.91484673	2.560601397	2.599107808	0.804590856	1.874594649	1.902226687	2.620173832	2.954412488	4.708389089	0	1.682817499	1.61476521	2.261377484	1.433702996	1.585191147	0	2.728731286	0	2.040248346	1.949160769	1.238023276	2.820519363	1.575347631	2.040551587	2.454623426	2.199465531	1.032861374	2.471541495	3.764412612	5.104938107	1.805786925	2.443579321	2.082147448	0.077351505	0	1.90566819	2.347614677	2.952934026
